time;IFace;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
15:36:48;lo;124.70;124.70;80.06;80.06;0.00;0.00;0.00
15:36:48;eth0;54.02;0.00;7.21;0.00;0.00;0.00;3.61
15:36:48;eth1;93.57;58.43;21.20;26.08;0.00;0.00;3.61
15:36:48;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:48;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:48;bond0;147.59;58.43;28.41;26.08;0.00;0.00;7.23
15:36:53;lo;69.14;69.14;70.94;70.94;0.00;0.00;0.00
15:36:53;eth0;60.32;0.00;8.20;0.00;0.00;0.00;5.61
15:36:53;eth1;111.42;77.56;28.36;36.84;0.00;0.00;5.61
15:36:53;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:53;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:53;bond0;171.74;77.56;36.57;36.84;0.00;0.00;11.22
15:36:58;lo;65.26;65.26;70.46;70.46;0.00;0.00;0.00
15:36:58;eth0;59.24;0.00;7.79;0.00;0.00;0.00;4.42
15:36:58;eth1;165.06;80.92;100.38;39.70;0.00;0.00;4.62
15:36:58;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:58;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:58;bond0;224.30;80.92;108.17;39.70;0.00;0.00;9.04
15:37:03;lo;230.38;230.38;447.78;447.78;0.00;0.00;0.00
15:37:03;eth0;59.15;0.00;8.36;0.00;0.00;0.00;5.23
15:37:03;eth1;138.43;95.98;38.89;28.49;0.00;0.00;5.23
15:37:03;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:37:03;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:37:03;bond0;197.59;95.98;47.25;28.49;0.00;0.00;10.46
15:37:08;lo;759.48;759.48;1120.72;1120.72;0.00;0.00;0.00
15:37:08;eth0;58.27;0.00;7.76;0.00;0.00;0.00;4.84
15:37:08;eth1;662.50;610.89;201.86;117.99;0.00;0.00;4.84
15:37:08;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:37:08;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:37:08;bond0;720.77;610.89;209.61;117.99;0.00;0.00;9.68
